============================================================
Horizon training — 72h target (fwdMaxFavR72H)
  CSV source: /Volumes/External/CryptoLens/ml-training/csv_exports_v14_stocks
  Output suffix: h72t25
============================================================

--- Loading Stocks ---
    0.4626 -> 0.4368
    0.4626 -> 0.4444
    0.4630 -> 0.4444
    0.4631 -> 0.4448
    0.4638 -> 0.4448
    0.4638 -> 0.4565
    0.4669 -> 0.4565
    0.4669 -> 0.4598
    0.4698 -> 0.4598
    0.4698 -> 0.4631
    0.4738 -> 0.4631
    0.4738 -> 0.4716
    0.4964 -> 0.4716
    0.4964 -> 0.4722
    0.5039 -> 0.4722
    0.5039 -> 0.4895
    0.5049 -> 0.4895
    0.5049 -> 0.4908
    0.5091 -> 0.4908
    0.5091 -> 0.5000
    0.5092 -> 0.5000
    0.5092 -> 0.5041
    0.5297 -> 0.5041
    0.5297 -> 0.5074
    0.5382 -> 0.5074
    0.5382 -> 0.5096
    0.5608 -> 0.5096
    0.5608 -> 0.5167
    0.5854 -> 0.5167
    0.5854 -> 0.5218
    0.6136 -> 0.5218
    0.6136 -> 0.5420
    0.6183 -> 0.5420
    0.6183 -> 0.5556
    0.6192 -> 0.5556
    0.6192 -> 0.5600
    0.6194 -> 0.5600
    0.6194 -> 0.5678
    0.6251 -> 0.5678
    0.6251 -> 0.5865
    0.6284 -> 0.5865
    0.6284 -> 0.5888
    0.6347 -> 0.5888
    0.6347 -> 0.5985
    0.6363 -> 0.5985
    0.6364 -> 0.6003
    0.6472 -> 0.6003
    0.6472 -> 0.6006
    0.6490 -> 0.6006
    0.6490 -> 0.6073
    0.6518 -> 0.6073
    0.6518 -> 0.6296
    0.6532 -> 0.6296
    0.6532 -> 0.6327
    0.6552 -> 0.6327
    0.6552 -> 0.6415
    0.6600 -> 0.6415
    0.6600 -> 0.6503
    0.6634 -> 0.6503
    0.6634 -> 0.6626
    0.6709 -> 0.6626
    0.6709 -> 0.6726
    0.6787 -> 0.6726
    0.6787 -> 0.6807
    0.6828 -> 0.6807
    0.6828 -> 0.6866
    0.6850 -> 0.6866
    0.6850 -> 0.6944
    0.6877 -> 0.6944
    0.6877 -> 0.6970
    0.6878 -> 0.6970
    0.6878 -> 0.7011
    0.6968 -> 0.7011
    0.6968 -> 0.7069
    0.6971 -> 0.7069
    0.6971 -> 0.7171
    0.6979 -> 0.7171
    0.6979 -> 0.7210
    0.7034 -> 0.7210
    0.7034 -> 0.7268
    0.7097 -> 0.7268
    0.7097 -> 0.7368
    0.7102 -> 0.7368
    0.7102 -> 0.7387
    0.7146 -> 0.7387
    0.7146 -> 0.7449
    0.7233 -> 0.7449
    0.7233 -> 0.7631
    0.7339 -> 0.7631
    0.7340 -> 0.7656
    0.7357 -> 0.7656
    0.7357 -> 0.7712
    0.7379 -> 0.7712
    0.7379 -> 0.7752
    0.7405 -> 0.7752
    0.7406 -> 0.7798
    0.7559 -> 0.7798
    0.7559 -> 0.7848
    0.7590 -> 0.7848
    0.7590 -> 0.7869
    0.7664 -> 0.7869
    0.7664 -> 0.7889
    0.7725 -> 0.7889
    0.7726 -> 0.7895
    0.7726 -> 0.7895
    0.7726 -> 0.8013
    0.7739 -> 0.8013
    0.7739 -> 0.8036
    0.7784 -> 0.8036
    0.7784 -> 0.8101
    0.7824 -> 0.8101
    0.7824 -> 0.8205
    0.8115 -> 0.8205
    0.8115 -> 0.8241
    0.8168 -> 0.8241
    0.8168 -> 0.8365
    0.8226 -> 0.8365
    0.8226 -> 0.8500
    0.8299 -> 0.8500
    0.8299 -> 0.8500
    0.8323 -> 0.8500
    0.8323 -> 0.8500
    0.8329 -> 0.8500
    0.8329 -> 0.8500
    0.8418 -> 0.8500
    0.8418 -> 0.8500
    0.8520 -> 0.8500
    0.8521 -> 0.8500
    0.8586 -> 0.8500
    0.8602 -> 0.8500
    0.8749 -> 0.8500

