symbol,side,R,n,p_target,p_stop,p_timeout,mean_timeout_r,ev_real,ev_binary_assumption
BNBUSDT,SHORT,3.0,13988,0.17529310837861023,0.692951100943666,0.13175579067772375,0.7138168042509444,-0.07302227836470615,-0.2988275664855591
BNBUSDT,SHORT,5.0,13988,0.06827280526165284,0.7062482127537889,0.22547898198455818,1.275398606945061,-0.07730860692702875,-0.590363168430083
BNBUSDT,SHORT,8.0,13988,0.022233342865313126,0.7108235630540464,0.26694309408064054,1.6572764244133504,-0.09055832365174066,-0.7998999142121819
BTCUSDT,LONG,1.0,14230,0.49128601546029516,0.5021082220660577,0.006605762473647224,0.028051652315122067,-0.010636904053575442,-0.01742796907940969
BTCUSDT,LONG,1.5,14230,0.3724525650035137,0.603232607167955,0.024314827828531272,0.2609196090168067,-0.038209544292353126,-0.06886858749121572
BTCUSDT,LONG,2.0,14230,0.2893183415319747,0.6534082923401265,0.05727336612789881,0.5178731315652917,-0.04511127180423662,-0.1320449754040759
BTCUSDT,LONG,3.0,14230,0.1832044975404076,0.6921995783555868,0.12459592410400562,0.9096629672575468,-0.02924578770571818,-0.2671820098383696
BTCUSDT,LONG,5.0,14230,0.07723120168657766,0.7102600140548138,0.21250878425860859,1.5765358325074463,0.010923707484365254,-0.536612789880534
BTCUSDT,LONG,8.0,14230,0.025017568517217148,0.7143359100491918,0.260646521433591,2.133027715877007,0.04177089235332522,-0.7748418833450457
BTCUSDT,SHORT,1.0,14230,0.49641602248770206,0.49697821503865075,0.006605762473647224,-0.028051652315122067,-0.0007474951031357331,-0.007167955024595829
BTCUSDT,SHORT,1.5,14230,0.3665495432185524,0.6104005621925509,0.023049894588896697,0.12241222789135918,-0.05775465841543458,-0.08362614195361906
BTCUSDT,SHORT,2.0,14230,0.27947997189037244,0.6658468025298665,0.05467322557976107,0.3662358470347198,-0.08686356366879747,-0.1615600843288827
BTCUSDT,SHORT,3.0,14230,0.16936050597329586,0.7089950808151791,0.12164441321152494,0.7990678832921329,-0.10371141911604484,-0.3225579761068166
BTCUSDT,SHORT,5.0,14230,0.06746310611384398,0.7251581166549543,0.20737877723120168,1.371738897504196,-0.10337305084083749,-0.5952213633169361
BTCUSDT,SHORT,8.0,14230,0.02150386507378777,0.7290934645115952,0.249402670414617,1.8280760346251255,-0.10113549916482288,-0.8064652143359101
DOGEUSDT,LONG,1.0,13082,0.45918055343219694,0.5254548234214952,0.015364623146307904,-0.01975087425900406,-0.06657773472909798,-0.08163889313560618
DOGEUSDT,LONG,1.5,13082,0.3341996636599908,0.6226876624369363,0.043112673903072926,0.20497848320000406,-0.11255099644360173,-0.16450084085002292
DOGEUSDT,LONG,2.0,13082,0.25080262956734445,0.6713040819446567,0.07789328848799877,0.40123402333540603,-0.1384453852791027,-0.24759211129796665
DOGEUSDT,LONG,3.0,13082,0.1584620088671457,0.7061611374407583,0.135376853692096,0.7060853977978064,-0.13518749124752216,-0.3661519645314172
DOGEUSDT,LONG,5.0,13082,0.07552362024155328,0.7203791469194313,0.20409723283901543,1.180237685036424,-0.10187780010340526,-0.5468582785506804
DOGEUSDT,LONG,8.0,13082,0.03386332365081792,0.7222901696988228,0.24384650665035928,1.6026367228393164,-0.06058621419833217,-0.6952300871426387
DOGEUSDT,SHORT,1.0,13082,0.5220149824185905,0.46262039443510167,0.015364623146307904,0.01975087425900406,0.059698052723288465,0.04402996483718091
DOGEUSDT,SHORT,1.5,13082,0.39137746521938543,0.5593181470723131,0.049304387708301485,0.20934941383965014,0.038069895423220784,-0.02155633695153647
DOGEUSDT,SHORT,2.0,13082,0.2918513988686745,0.6100749120929522,0.09807368903837334,0.4394226833576304,0.01672368924842072,-0.12444580339397648
DOGEUSDT,SHORT,3.0,13082,0.17634918208225042,0.6489833358813637,0.17466748203638588,0.7693531063018455,0.014445180240002827,-0.2946032716709983
DOGEUSDT,SHORT,5.0,13082,0.06765020639046017,0.6635071090047393,0.2688426846048005,1.2947617532691842,0.022831148620067302,-0.5940987616572391
DOGEUSDT,SHORT,8.0,13082,0.020027518728023237,0.6665647454517658,0.313407735820211,1.6805865658607742,0.020364234828709186,-0.8197523314477909
DOTUSDT,LONG,1.0,11351,0.45335212756585325,0.5402167209937451,0.006431151440401727,-0.022607675612057055,-0.08700998681346843,-0.09329574486829356
DOTUSDT,LONG,1.5,11351,0.3230552374240155,0.6522773323936217,0.02466743018236279,0.2005236970342376,-0.1627480719610971,-0.19236190643996132
DOTUSDT,LONG,2.0,11351,0.2417408157871553,0.7039027398467096,0.05435644436613514,0.4558885628119666,-0.19564062697075293,-0.27477755263853404
DOTUSDT,LONG,3.0,11351,0.14412827063694827,0.7388776319267025,0.11699409743634923,0.8945123571937287,-0.20184015414031609,-0.42348691745220696
DOTUSDT,LONG,5.0,11351,0.049422958329662585,0.752885208351687,0.19769183331865034,1.495223445491457,-0.21017695254313898,-0.7034622500220244
DOTUSDT,LONG,8.0,11351,0.013831380495110563,0.7549114615452384,0.23125715795965113,1.8984777884420612,-0.20522383977971892,-0.8755175755440049
DOTUSDT,SHORT,1.0,11351,0.5378380759404457,0.4557307726191525,0.006431151440401727,0.022607675612057055,0.08225269670686988,0.0756761518808915
DOTUSDT,SHORT,1.5,11351,0.41194608404545857,0.5583649017707691,0.029689014183772355,0.22762841882778748,0.06631228765262659,0.0298652101136464
DOTUSDT,SHORT,2.0,11351,0.3200599066161572,0.6133380318914633,0.06660206149237953,0.4481361701830253,0.05662857410434033,-0.0398202801515285
DOTUSDT,SHORT,3.0,11351,0.18800105717557924,0.6560655448859132,0.15593339793850763,0.8948211686815976,0.04747013202065261,-0.24799577129768302
DOTUSDT,SHORT,5.0,11351,0.0778786010043168,0.6676063782926615,0.25451502070302173,1.4791107109918296,0.09824251995906931,-0.5327283939740992
DOTUSDT,SHORT,8.0,11351,0.02017443397057528,0.6700731213108977,0.309752444718527,1.9518518255227746,0.09591322513770374,-0.8184300942648225
EGLDUSDT,LONG,1.0,11255,0.443269657929809,0.5493558418480675,0.007374500222123501,-0.10403668727855687,-0.10685340249170325,-0.11346068414038202
EGLDUSDT,LONG,1.5,11255,0.31728120835184365,0.6541092847623279,0.02860950688582852,0.2040093079692152,-0.17235086653344403,-0.20679697912039086
EGLDUSDT,LONG,2.0,11255,0.23562860950688583,0.7070635273211906,0.05730786317192359,0.4483504480449445,-0.2101123021777886,-0.29311417147934254
EGLDUSDT,LONG,3.0,11255,0.14535761883607284,0.741981341625944,0.11266103953798312,0.7901014270495234,-0.21689483700588222,-0.4185695246557087
EGLDUSDT,LONG,5.0,11255,0.06281652598844958,0.7534429142603287,0.18374055975122167,1.394279038945892,-0.18317467325276726,-0.6231008440693026
EGLDUSDT,LONG,8.0,11255,0.018658374055975122,0.7549533540648601,0.22638827187916483,1.9282235019736882,-0.16915917520844442,-0.8320746334962239
EGLDUSDT,SHORT,1.0,11255,0.54749000444247,0.4451354953354065,0.007374500222123501,0.10403668727855687,0.10312172768050822,0.09498000888493996
EGLDUSDT,SHORT,1.5,11255,0.41092847623278544,0.5535317636605953,0.03553976010661928,0.285815905984969,0.07301877942194471,0.027321190581963584
EGLDUSDT,SHORT,2.0,11255,0.3161261661483785,0.6063083074189249,0.07756552643269658,0.48357123863597834,0.06345248257034289,-0.051621501554864446
EGLDUSDT,SHORT,3.0,11255,0.19235895157707686,0.6448689471346069,0.16277210128831632,0.9266495970618858,0.08304060966835847,-0.23056419369169256
EGLDUSDT,SHORT,5.0,11255,0.0693025322079076,0.6567747667703243,0.2739227010217681,1.5044730172132732,0.1018472067586425,-0.5841848067525544
EGLDUSDT,SHORT,8.0,11255,0.02016881386050644,0.6579298089737894,0.3219013771657041,1.8844330195692314,0.11002228608612394,-0.8184806752554421
ETHUSDT,LONG,1.0,14230,0.4914968376669009,0.5033028812368237,0.005200281096275475,0.06882130480587005,-0.01144815343951972,-0.017006324666198225
ETHUSDT,LONG,1.5,14230,0.36844694307800424,0.6085734364019677,0.02297962052002811,0.29963349424814456,-0.049017557792048964,-0.07888264230498943
ETHUSDT,LONG,2.0,14230,0.28742094167252286,0.6602951510892481,0.052283907238229094,0.5205889425855151,-0.05823484376081356,-0.13773717498243143
ETHUSDT,LONG,3.0,14230,0.17645818692902318,0.6984539704848911,0.12508784258608574,0.9490745430464631,-0.05036172265476426,-0.2941672522839073
ETHUSDT,LONG,5.0,14230,0.07547434996486296,0.7120168657765285,0.21250878425860859,1.5527270314512576,-0.004676982213028593,-0.5471539002108223
ETHUSDT,LONG,8.0,14230,0.022628250175685174,0.7153197470133521,0.26205200281096275,2.1211318605954386,0.02155310668730781,-0.7963457484188334
ETHUSDT,SHORT,1.0,14230,0.49964862965565704,0.49515108924806744,0.005200281096275475,-0.06882130480587005,0.004139650277186622,-0.0007027406886859211
ETHUSDT,SHORT,1.5,14230,0.37280393534785666,0.6051300070274069,0.02206605762473647,0.17348698700623721,-0.04209593015320038,-0.06799016163035831
ETHUSDT,SHORT,2.0,14230,0.2857343640196767,0.6652846099789178,0.048981026001405484,0.396966487306971,-0.07437205610309496,-0.14279690794096978
ETHUSDT,SHORT,3.0,14230,0.17427969079409697,0.709205903021785,0.11651440618411806,0.7959320452601766,-0.09362928102309397,-0.3028812368236121
